file,dt,tz,model,lat,lon,alt,dir,w,h,err
IMG_0577.HEIC,2026:03:10 14:13:17,-04:00,iPhone 17,40.21483888888889,-74.01243611111111,2.6255760192287085,4.098052978515625,5712,4284,
IMG_0578.HEIC,2026:03:10 14:13:19,-04:00,iPhone 17,40.21453888888889,-74.01239722222222,0.6655616759303108,47.64935304990758,5712,4284,
IMG_0579.HEIC,2026:03:10 14:13:22,-04:00,iPhone 17,40.21452777777778,-74.012375,0.5740623477837311,331.08154296875,5712,4284,
IMG_0608.HEIC,2026:03:25 16:06:02,-04:00,iPhone 17,40.21514166666667,-74.010375,1.7590293875719734,88.75556950109821,3024,4032,
IMG_0609.HEIC,2026:03:25 16:06:04,-04:00,iPhone 17,40.215125,-74.01036944444445,2.8359947212141208,90.76023856858846,3024,4032,
IMG_0611.HEIC,2026:03:25 16:06:10,-04:00,iPhone 17,40.21510277777778,-74.01036111111111,3.4828453386024787,96.17472838219973,3024,4032,
IMG_0612.HEIC,2026:03:25 16:06:10,-04:00,iPhone 17,40.21510277777778,-74.01036111111111,3.4828453386024787,98.1604690117253,3024,4032,
IMG_0613.HEIC,2026:03:25 16:06:14,-04:00,iPhone 17,40.215094444444446,-74.01036111111111,3.115169556297518,100.98674010607915,4032,3024,
IMG_0617.HEIC,2026:03:26 12:47:45,-04:00,iPhone 17,40.21450555555556,-74.01163611111112,0.7357521062103863,26.3046875,4284,5712,
IMG_0618.HEIC,2026:03:26 12:47:48,-04:00,iPhone 17,40.21449722222223,-74.01161111111111,0.2079429625781488,11.8759765625,5712,4284,
IMG_0664.HEIC,2026:03:27 15:28:28,-04:00,iPhone 17,40.21456388888889,-74.01109444444444,1.6748222341157581,57.1830749895266,5712,4284,
IMG_0665.HEIC,2026:03:27 15:28:30,-04:00,iPhone 17,40.21456944444445,-74.01107777777777,2.1388813189807876,53.020050048828125,5712,4284,
IMG_0720.HEIC,2026:03:30 19:28:41,-04:00,iPhone 17,40.21543055555556,-74.00747777777778,2.782840728939396,260.48480243161094,4284,5712,
IMG_0721.HEIC,2026:03:30 19:28:45,-04:00,iPhone 17,40.21542777777778,-74.0075,2.4530982958152254,263.63861094761626,4284,5712,
IMG_0722.HEIC,2026:03:30 19:28:46,-04:00,iPhone 17,40.21542777777778,-74.00752222222222,2.8313636049485105,265.6899109792285,4284,5712,
IMG_0723.HEIC,2026:03:30 19:28:47,-04:00,iPhone 17,40.21542777777778,-74.0075138888889,2.9013709677419355,265.2419738406659,4284,5712,
IMG_0724.HEIC,2026:03:30 19:28:48,-04:00,iPhone 17,40.21543055555556,-74.0075138888889,2.832248657491376,268.13211066210755,4284,5712,
IMG_0725.HEIC,2026:03:30 19:28:49,-04:00,iPhone 17,40.21543055555556,-74.0075138888889,3.138095826638652,267.03240982749605,4284,5712,
IMG_0726.HEIC,2026:03:30 19:28:50,-04:00,iPhone 17,40.21543055555556,-74.0075138888889,2.929355590645913,263.2106628242075,4284,5712,
IMG_0727.HEIC,2026:03:30 19:28:51,-04:00,iPhone 17,40.21542777777778,-74.0075138888889,2.5955543206446237,266.1853943158291,4284,5712,
IMG_0728.HEIC,2026:03:30 19:28:53,-04:00,iPhone 17,40.21542777777778,-74.00750833333333,2.280826537494635,269.5661317100166,4284,5712,
IMG_1128.HEIC,2026:04:27 14:29:00,-04:00,iPhone 17,40.21536666666667,-74.00760555555556,6.7242164624227305,306.7242582897033,5712,4284,
IMG_1129.HEIC,2026:04:27 14:29:01,-04:00,iPhone 17,40.21534722222223,-74.00760555555556,6.492954252257617,307.29560853199496,5712,4284,
IMG_2127.HEIC,2026:06:13 16:28:50,-04:00,iPhone 17,40.215988888888894,-74.00762222222222,3.5704054969515147,206.99850448654038,3024,4032,
IMG_2128.HEIC,2026:06:13 16:28:51,-04:00,iPhone 17,40.21596388888889,-74.00759166666667,3.3877914507772022,209.92910758965806,3024,4032,
IMG_2129.HEIC,2026:06:13 16:28:52,-04:00,iPhone 17,40.21596944444445,-74.00759166666667,3.4479781517046955,208.4800414722654,3024,4032,
IMG_2130.HEIC,2026:06:13 16:28:56,-04:00,iPhone 17,40.21596944444445,-74.00759166666667,3.205437434646218,208.84436042848142,3024,4032,
IMG_2131.HEIC,2026:06:13 16:28:58,-04:00,iPhone 17,40.21597222222223,-74.00759166666667,2.9797128503582506,207.7432098765432,3024,4032,
IMG_2132.HEIC,2026:06:13 16:29:01,-04:00,iPhone 17,40.21597222222223,-74.0076,2.714314697272701,207.99649045843387,3024,4032,
IMG_2133.HEIC,2026:06:13 16:29:03,-04:00,iPhone 17,40.21597222222223,-74.00759166666667,2.479390528171016,210.0374755859375,3024,4032,
IMG_2134.HEIC,2026:06:13 16:29:06,-04:00,iPhone 17,40.21596944444445,-74.00760555555556,1.7843570057581575,210.78912363067292,3024,4032,
IMG_2135.HEIC,2026:06:13 16:29:08,-04:00,iPhone 17,40.21597222222223,-74.00760555555556,1.8750648493137763,214.22880539499036,3024,4032,
IMG_2141.HEIC,2026:06:13 16:38:32,-04:00,iPhone 17,40.21668888888889,-74.002875,7.585292844777842,239.54513540621866,3024,4032,
IMG_2142.HEIC,2026:06:13 17:30:56,-04:00,iPhone 17,40.21613333333334,-74.005875,5.531093597192659,269.24632261281477,5712,4284,
IMG_2143.HEIC,2026:06:13 17:30:58,-04:00,iPhone 17,40.21610277777778,-74.00580555555555,9.477138518643496,260.2690278824416,5712,4284,
IMG_2146.HEIC,2026:06:13 17:31:04,-04:00,iPhone 17,40.21610277777778,-74.00576666666667,9.675594329334787,340.69352708058125,5712,4284,
IMG_2147.HEIC,2026:06:13 17:31:05,-04:00,iPhone 17,40.21610277777778,-74.00576666666667,9.702419280654954,339.0387725975262,5712,4284,
IMG_2148.HEIC,2026:06:13 17:31:08,-04:00,iPhone 17,40.21610555555556,-74.00576666666667,9.292629272724033,52.19415282392026,5712,4284,
IMG_2181.HEIC,2026:06:16 18:08:53,-04:00,iPhone 17,40.21559444444445,-74.00878055555556,9.7023887587822,177.05743424584006,4284,5712,
IMG_2182.HEIC,2026:06:16 18:08:56,-04:00,iPhone 17,40.21557222222223,-74.008775,8.88769149498151,171.4919586444572,4284,5712,
IMG_2183.HEIC,2026:06:16 18:08:57,-04:00,iPhone 17,40.21556944444445,-74.008775,8.861904146751066,174.21759023894256,4284,5712,
